  ,27109000100,27109000200,27109000300,27109000400,27109000500,27109000600,27109001000,27109001100,27109001201,27109001301,27109001401,27109001501,27109001502,27109001503,27109001601,27109001602,27109001701,27109001702,27109002300
27109000100,0,211,279,533,765,352,225,276,119,130,123,50,61,83,154,51,31,45,106
27109000200,206,0,226,137,104,112,182,120,17,15,44,6,7,15,46,18,3,6,107
27109000300,267,239,0,136,133,107,326,252,28,17,37,10,14,10,45,16,5,8,90
27109000400,792,122,159,0,419,150,113,208,116,106,69,16,10,14,52,13,7,12,67
27109000500,559,103,145,370,0,433,81,127,109,134,104,19,27,30,92,19,12,18,58
27109000600,336,115,90,139,514,0,61,49,25,47,176,69,77,48,183,27,29,28,104
27109001000,208,193,278,102,79,52,0,703,35,10,24,2,3,4,32,9,2,3,44
27109001100,161,95,175,150,114,52,619,0,62,17,24,7,6,6,30,13,3,3,32
27109001201,129,10,22,111,128,22,23,50,0,88,21,2,3,2,9,4,1,1,5
27109001301,129,15,20,120,127,69,9,10,72,0,169,7,9,4,11,3,7,7,10
27109001401,125,57,25,58,115,198,46,35,26,165,0,195,66,57,69,34,328,133,35
27109001501,49,7,11,12,22,104,3,6,3,9,196,0,42,135,37,8,173,85,5
27109001502,72,10,12,15,39,111,3,3,2,5,62,27,0,39,62,6,13,17,9
27109001503,72,17,13,15,51,48,6,4,2,5,44,118,43,0,86,38,21,80,12
27109001601,151,63,60,50,95,176,28,32,8,15,63,39,52,81,0,197,14,17,144
27109001602,44,15,15,14,14,25,6,7,4,1,31,8,5,24,176,0,7,16,53
27109001701,29,3,8,6,11,25,5,2,1,5,376,193,12,24,18,7,0,190,4
27109001702,50,4,7,13,14,30,7,5,2,5,143,106,26,91,18,13,209,0,6
27109002300,141,109,96,61,67,104,42,30,8,9,36,5,12,14,143,46,4,6,0
